,runID,module,name,vectime,vecvalue,interpolationmode,recordingmode,source,title,b1num,b2num,b3num,xnum,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
8,General-0-20221127-19:47:43-78598,Network.bunker1host[0].app[1],chunkLength:vector,[ 40.  46.  62.  70.  94. 105. 121. 129. 160. 171. 178. 195. 231. 241. 250. 270. 278. 284.],[723. 663. 393. 412. 289. 526. 928. 796.  52. 807. 617.  53. 702. 419.  79. 247. 611. 258.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
7,General-0-20221127-19:47:43-78598,Network.bunker1host[1].app[1],chunkLength:vector,[ 35.00000066  51.          61.          78.          97.         115.         123.         134.         142.         152.         159.         166.         202.         210.         264.         274.         291.         300.        ],[187. 823. 539. 366. 793. 800. 374.  92.  72. 233. 563. 826. 259. 123. 178. 393. 885. 467.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
2,General-0-20221127-19:47:43-78598,Network.bunker1host[2].app[1],chunkLength:vector,[  8.000001    16.00000072  24.00000072  31.00000066  42.          62.          79.          86.         127.         142.         168.         181.         190.         209.         215.         226.         234.         243.         266.         272.         282.        ],[534. 586. 482. 898. 528. 332. 122. 704. 253.  48. 385.  47. 579. 468. 774.  77. 842. 554. 613. 400. 641.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
6,General-0-20221127-19:47:43-78598,Network.bunker2host[0].app[1],chunkLength:vector,[ 28.  34.  66.  77.  83. 104. 111. 124. 134. 206. 223. 233. 259. 275. 285.],[ 48. 626. 718. 952. 831.  81. 944. 755. 747. 857.  42. 537. 398. 722.  20.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
3,General-0-20221127-19:47:43-78598,Network.bunker2host[1].app[1],chunkLength:vector,[ 16.00000079  36.          43.00000066  78.          94.         104.         120.         126.         135.         230.         255.         273.         300.        ],[ 35. 682. 430. 416. 771. 161. 835. 435. 276.  82. 648. 569. 194.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
5,General-0-20221127-19:47:43-78598,Network.bunker2host[2].app[1],chunkLength:vector,[ 18.          36.00000066  43.          49.          67.          76.          93.         113.         124.         149.         170.         178.         188.         196.         207.         242.         260.         267.         273.         295.        ],[872. 320. 437. 736. 934.  72. 134. 719. 199. 710. 486. 637.  35. 446. 735. 381. 180. 374. 679. 283.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
1,General-0-20221127-19:47:43-78598,Network.bunker2host[3].app[1],chunkLength:vector,[  7.00000079  15.          26.00000066  35.          57.          72.          82.         114.         125.         136.         147.         164.         207.         233.         239.         245.         258.         264.         275.         286.        ],[987. 436. 688. 830. 642. 559. 753. 885. 408. 886. 185.  96. 853. 527. 427. 538. 948. 118. 951. 982.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
10,General-0-20221127-19:47:43-78598,Network.bunker3host[0].app[1],chunkLength:vector,[ 49.  60.  66.  73.  84.  93. 116. 122. 133. 139. 150. 160. 167. 192. 198. 210. 217. 238. 254. 264. 271. 292.],[925. 518. 337. 247. 234. 449. 496. 315. 584.  51. 304. 369. 596. 429. 989. 517. 380. 250. 187. 644. 582. 313.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
0,General-0-20221127-19:47:43-78598,Network.bunker3host[1].app[1],chunkLength:vector,[  7.00000072  24.00000066  36.00000072  79.          87.          97.         165.         175.         193.         199.         206.         236.         267.         287.        ],[813. 444. 637. 583. 907. 855.  94. 751. 263. 738. 419. 645. 735. 233.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
4,General-0-20221127-19:47:43-78598,Network.bunker3host[2].app[1],chunkLength:vector,[ 17.00000066  26.00000079  35.00000072  45.          87.00000066  97.00000066 105.         131.         139.00000066 150.         163.         190.         210.         234.         242.         257.         278.         286.        ],[646.  75. 183. 358.  46. 401. 528.  25. 962. 903. 910. 558. 542. 576. 405. 407. 433.  97.],none,vector,chunkLength,Chunk Length,"int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(2, 5))","int(uniform(1, 2))",General,20221127-19:47:43,20221127-194743,General,omnetpp.ini,"$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))","b1num=int(uniform(2,_5))/b2num=int(uniform(2,_5))/b3num=int(uniform(2,_5))/xnum=int(uniform(1,_2))","b1num=int(uniform(2,_5)),b2num=int(uniform(2,_5)),b3num=int(uniform(2,_5)),xnum=int(uniform(1,_2))-","$b1num=int(uniform(2, 5)), $b2num=int(uniform(2, 5)), $b3num=int(uniform(2, 5)), $xnum=int(uniform(1, 2))",Network,78598,0,#0,results,0,0
